Date,Open,High,Low,Close,Adj Close,Volume
9/23/2016,216.720001,216.880005,215.880005,215.990005,199.991791,73630900
9/26/2016,215.020004,215.229996,214.009995,214.240005,198.371414,89827300
9/27/2016,214.050003,215.679993,213.619995,215.570007,199.602875,78494800
9/28/2016,215.830002,216.820007,214.710007,216.639999,200.593628,87411000
9/29/2016,216.399994,216.869995,214.039993,214.679993,198.778809,128070600
9/30/2016,215.649994,217.119995,215.360001,216.300003,200.278824,117202900
10/3/2016,215.820007,216.039993,215.039993,215.779999,199.797302,83512100
10/4/2016,215.910004,216.169998,213.990005,214.679993,198.778809,119948100
10/5/2016,215.410004,216.130005,215.330002,215.630005,199.658463,72816000
10/6/2016,215.369995,216.039993,214.740005,215.779999,199.797302,62927400
10/7/2016,216.100006,216.300003,214.190002,215.039993,199.112167,89788300
10/10/2016,216.160004,216.699997,215.990005,216.160004,200.149185,51855000
10/11/2016,215.660004,215.740005,212.580002,213.429993,197.621399,130367400
10/12/2016,213.589996,214.320007,213.009995,213.710007,197.880661,73866100
10/13/2016,212.160004,213.589996,211.210007,213.009995,197.232513,101357000
10/14/2016,214.149994,214.690002,213.029999,213.119995,197.334381,93346200
10/17/2016,213.089996,213.389999,212.169998,212.380005,196.649185,58275700
10/18/2016,214.240005,214.309998,213.270004,213.710007,197.880661,76869700
10/19/2016,214.020004,214.639999,213.600006,214.279999,198.408432,66519200
10/20/2016,213.869995,214.529999,213.110001,213.880005,198.038086,73639800
10/21/2016,213.880005,214.080002,212.759995,213.979996,198.130661,89089100
10/24/2016,215,215.320007,214.479996,214.889999,198.973267,60146600
10/25/2016,214.679993,214.979996,213.979996,214.169998,198.306564,66542300
10/26/2016,213.210007,214.419998,212.929993,213.740005,197.908432,75705500
10/27/2016,214.580002,214.619995,213.080002,213.169998,197.380661,77220200
10/28/2016,213.139999,213.929993,211.710007,212.539993,196.797333,140623200
10/31/2016,212.929993,213.190002,212.360001,212.550003,196.806595,61272500
11/1/2016,212.929993,212.990005,209.600006,211.009995,195.380661,122781800
11/2/2016,210.649994,211.100006,209.229996,209.740005,194.204712,103330800
11/3/2016,209.990005,210.240005,208.460007,208.779999,193.315811,88939300
11/4/2016,208.910004,209.889999,208.380005,208.550003,193.102814,109122100
11/7/2016,208.550003,213.190002,208.550003,213.149994,197.362137,109794900
11/8/2016,212.690002,214.770004,212.380005,214.110001,198.251022,106772100
11/9/2016,212.369995,217.100006,212.339996,216.380005,200.352905,258429000
11/10/2016,217.300003,218.309998,215.220001,216.919998,200.852905,172113300
11/11/2016,216.080002,216.699997,215.320007,216.419998,200.389908,100552700
11/14/2016,217.029999,217.270004,215.720001,216.589996,200.547348,94580000
11/15/2016,217.039993,218.279999,216.800003,218.279999,202.112167,91652600
11/16/2016,217.559998,218.139999,217.419998,217.869995,201.732498,65617700
11/17/2016,218.050003,219.059998,217.919998,218.990005,202.769577,69797200
11/18/2016,219.070007,219.270004,218.289993,218.5,202.315857,86265800
11/21/2016,219.169998,220.179993,219,220.149994,203.843658,72402600
11/22/2016,220.509995,220.789993,219.729996,220.580002,204.241821,67429000
11/23/2016,219.979996,220.759995,219.75,220.699997,204.352921,56620200
11/25/2016,221.100006,221.559998,221.009995,221.520004,205.112183,37872300
11/28/2016,221.160004,221.479996,220.360001,220.479996,204.149216,76572500
11/29/2016,220.520004,221.440002,220.169998,220.910004,204.547394,69886700
11/30/2016,221.630005,221.820007,220.309998,220.380005,204.056641,113291800
12/1/2016,220.729996,220.729996,219.149994,219.570007,203.306641,79040500
12/2/2016,219.669998,220.25,219.259995,219.679993,203.408447,74840300
12/5/2016,220.649994,221.399994,220.419998,221,204.630692,67837800
12/6/2016,221.220001,221.740005,220.660004,221.699997,205.278854,59877400
12/7/2016,221.520004,224.669998,221.380005,224.600006,207.96405,110738100
12/8/2016,224.570007,225.699997,224.259995,225.149994,208.473282,99714400
12/9/2016,225.410004,226.529999,225.369995,226.509995,209.732544,88005800
12/12/2016,226.399994,226.960007,225.759995,226.25,209.491821,102016100
12/13/2016,227.020004,228.339996,227,227.759995,210.889969,110477500
12/14/2016,227.410004,228.229996,225.369995,225.880005,209.149246,142501800
12/15/2016,226.160004,227.809998,225.889999,226.809998,210.010361,124972600
12/16/2016,226.009995,226.080002,224.669998,225.039993,209.599579,156420200
12/19/2016,225.25,226.020004,225.080002,225.529999,210.055969,90341100
12/20/2016,226.149994,226.570007,225.880005,226.399994,210.866318,89838800
12/21/2016,226.25,226.449997,225.770004,225.770004,210.279526,67909000
12/22/2016,225.600006,225.740005,224.919998,225.380005,209.91626,56219100
12/23/2016,225.429993,225.720001,225.210007,225.710007,210.223648,36697800
12/27/2016,226.020004,226.729996,226,226.270004,210.745209,42672500
12/28/2016,226.570007,226.589996,224.270004,224.399994,209.00351,64095000
12/29/2016,224.479996,224.889999,223.839996,224.350006,208.956924,48696100
12/30/2016,224.729996,224.830002,222.729996,223.529999,208.193207,108998300
1/3/2017,225.039993,225.830002,223.880005,225.240005,209.785889,91366500
1/4/2017,225.619995,226.75,225.610001,226.580002,211.033981,78744400
1/5/2017,226.270004,226.580002,225.479996,226.399994,210.866318,78379000
1/6/2017,226.529999,227.75,225.899994,227.210007,211.620728,71559900
1/9/2017,226.910004,227.070007,226.419998,226.460007,210.922211,46939700
1/10/2017,226.479996,227.449997,226.009995,226.460007,210.922211,63771900
1/11/2017,226.360001,227.100006,225.589996,227.100006,211.518295,74650000
1/12/2017,226.5,226.75,224.960007,226.529999,210.987366,72113200
1/13/2017,226.729996,227.399994,226.690002,227.050003,211.471741,62717900
1/17/2017,226.309998,226.779999,225.800003,226.25,210.726593,61240800
1/18/2017,226.539993,226.800003,225.899994,226.75,211.192276,54793300
1/19/2017,226.839996,227,225.410004,225.910004,210.409927,66608800
1/20/2017,226.699997,227.309998,225.970001,226.740005,211.182983,129168600
1/23/2017,226.740005,226.809998,225.270004,226.149994,210.633453,75061600
1/24/2017,226.399994,228.080002,226.270004,227.600006,211.983978,95555300
1/25/2017,228.699997,229.570007,228.509995,229.570007,213.818802,84437700
1/26/2017,229.399994,229.710007,229.009995,229.330002,213.595291,59970700
1/27/2017,229.419998,229.589996,228.759995,228.970001,213.259964,59711100
1/30/2017,228.169998,228.199997,226.410004,227.550003,211.937393,79737300
1/31/2017,226.979996,227.600006,226.320007,227.529999,211.918762,75880800
2/1/2017,227.529999,228.589996,226.940002,227.619995,212.002609,79117700
2/2/2017,227.619995,228.100006,226.820007,227.770004,212.142303,69657600
2/3/2017,228.820007,229.550003,228.460007,229.339996,213.604584,80563200
2/6/2017,228.869995,229.330002,228.539993,228.929993,213.222687,57790100
2/7/2017,229.380005,229.660004,228.720001,228.940002,213.232025,57931200
2/8/2017,228.940002,229.389999,228.309998,229.240005,213.511459,51566200
2/9/2017,229.240005,230.949997,229.240005,230.600006,214.778137,65955200
2/10/2017,231,231.770004,230.619995,231.509995,215.625671,66015900
2/13/2017,232.080002,233.070007,232.050003,232.770004,216.79924,55182100
2/14/2017,232.559998,233.710007,232.160004,233.699997,217.665451,71109000
2/15/2017,233.449997,235.139999,233.389999,234.919998,218.801697,86785800
2/16/2017,234.949997,235.160004,233.850006,234.720001,218.615463,84722400
2/17/2017,233.949997,235.089996,233.929993,235.089996,218.960068,77204100
2/21/2017,235.520004,236.690002,235.509995,236.490005,220.264008,88946100
2/22/2017,236.020004,236.539993,235.830002,236.279999,220.068405,62115200
2/23/2017,236.880005,236.899994,235.559998,236.440002,220.217407,74615900
2/24/2017,235.460007,236.789993,235.410004,236.740005,220.496857,82381600
2/27/2017,236.639999,237.309998,236.350006,237.110001,220.841476,56515400
2/28/2017,236.669998,236.949997,236.020004,236.470001,220.245392,96961900
3/1/2017,238.389999,240.320007,238.369995,239.779999,223.328278,149158200
3/2/2017,239.559998,239.570007,238.210007,238.270004,221.92189,70246000
3/3/2017,238.169998,238.610001,237.729996,238.419998,222.0616,81974300
3/6/2017,237.5,238.119995,237.009995,237.710007,221.400314,55391500
3/7/2017,237.360001,237.770004,236.759995,237,220.739014,65103700
3/8/2017,237.339996,237.639999,236.399994,236.559998,220.329208,78168800
3/9/2017,236.699997,237.240005,235.740005,236.860001,220.608612,90683900
3/10/2017,237.970001,238.020004,236.589996,237.690002,221.381683,81991700
3/13/2017,237.619995,237.860001,237.240005,237.809998,221.493423,57256800
3/14/2017,237.179993,237.240005,236.190002,236.899994,220.645874,59880800
3/15/2017,237.559998,239.440002,237.289993,238.949997,222.555252,96081800
3/16/2017,239.110001,239.199997,238.100006,238.479996,222.117462,78344000
3/17/2017,237.75,237.970001,237.029999,237.029999,221.727371,89002100
3/20/2017,237.029999,237.360001,236.320007,236.770004,221.484177,52537000
3/21/2017,237.470001,237.610001,233.580002,233.729996,218.640442,131809300
3/22/2017,233.770004,234.610001,233.050003,234.279999,219.154922,97569200
3/23/2017,234.279999,235.339996,233.600006,234.029999,218.921066,100410300
3/24/2017,234.380005,235.039993,232.960007,233.860001,218.762039,112504900
3/27/2017,231.929993,233.919998,231.610001,233.619995,218.537537,87454500
3/28/2017,233.270004,235.809998,233.139999,235.320007,220.127808,93483900
3/29/2017,234.990005,235.809998,234.729996,235.539993,220.333588,61950400
3/30/2017,235.470001,236.520004,235.270004,236.289993,221.035172,56737900
3/31/2017,235.899994,236.509995,235.679993,235.740005,220.520676,73733100
4/3/2017,235.800003,236.029999,233.910004,235.330002,220.137161,85546500
4/4/2017,235,235.580002,234.559998,235.479996,220.277481,56466200
4/5/2017,236.259995,237.389999,234.539993,234.779999,219.62265,108800600
4/6/2017,234.940002,236.039993,234.429993,235.440002,220.240036,69135800
4/7/2017,235.149994,236,234.639999,235.199997,220.015549,74412300
4/10/2017,235.360001,236.259995,234.729996,235.339996,220.146484,67615300
4/11/2017,234.899994,235.179993,233.339996,235.059998,219.884567,88045300
4/12/2017,234.740005,234.960007,233.770004,234.029999,218.921066,81864400
4/13/2017,233.639999,234.490005,232.509995,232.509995,217.499191,92880400
4/17/2017,233.110001,234.570007,232.880005,234.570007,219.426208,68405400
4/18/2017,233.720001,234.490005,233.080002,233.869995,218.771393,83225800
4/19/2017,234.520004,234.949997,233.179993,233.440002,218.369141,68699900
4/20/2017,234.149994,235.850006,233.779999,235.339996,220.146484,92572200
4/21/2017,235.25,235.309998,234.130005,234.589996,219.444916,110389800
4/24/2017,237.179993,237.410004,234.559998,237.169998,221.858353,119209900
4/25/2017,237.910004,238.949997,237.809998,238.550003,223.149246,76698300
4/26/2017,238.509995,239.529999,238.350006,238.399994,223.008942,84702500
4/27/2017,238.770004,238.949997,237.979996,238.600006,223.196014,57410300
4/28/2017,238.899994,238.929993,237.929993,238.080002,222.709595,63532800
5/1/2017,238.679993,239.169998,238.199997,238.679993,223.270859,66882500
5/2/2017,238.839996,238.979996,238.300003,238.770004,223.355072,57375700
5/3/2017,238.770004,238.880005,237.699997,238.479996,223.083771,73137700
5/4/2017,238.830002,238.919998,237.779999,238.759995,223.345703,61462700
5/5/2017,239.190002,239.720001,238.679993,239.699997,224.225052,62001300
5/8/2017,239.75,239.919998,239.169998,239.660004,224.187592,48385700
5/9/2017,239.960007,240.190002,239.039993,239.440002,223.981812,51363200
5/10/2017,239.389999,239.869995,239.149994,239.869995,224.384018,54293800
5/11/2017,239.350006,239.570007,238.130005,239.380005,223.925674,62358300
5/12/2017,239.089996,239.429993,238.669998,238.979996,223.551514,53912700
5/15/2017,239.470001,240.440002,239.449997,240.300003,224.786301,61918900
5/16/2017,240.639999,240.669998,239.630005,240.080002,224.580475,51241800
5/17/2017,240.080002,240.080002,235.75,235.820007,220.59552,172174100
5/18/2017,235.729996,237.75,235.429993,236.770004,221.484177,107047700
5/19/2017,237.330002,239.080002,237.270004,238.309998,222.924744,115011400
5/22/2017,238.899994,239.710007,238.820007,239.520004,224.05661,61010600
5/23/2017,239.949997,240.240005,239.509995,240.050003,224.552444,48341700
5/24/2017,240.320007,240.729996,239.929993,240.610001,225.076248,46927700
5/25/2017,241.199997,242.080002,240.960007,241.759995,226.152008,64071700
5/26/2017,241.539993,241.899994,241.449997,241.710007,226.105255,46629900
5/30/2017,241.339996,241.789993,241.160004,241.5,225.908813,35201900
5/31/2017,241.839996,241.880005,240.639999,241.440002,225.852692,91796000
6/1/2017,241.970001,243.380005,241.639999,243.360001,227.648682,68962000
6/2/2017,243.419998,244.350006,243.080002,244.169998,228.406433,88666100
6/5/2017,243.970001,244.300003,243.759995,243.990005,228.238083,44698800
6/6/2017,243.339996,243.979996,243.119995,243.210007,227.508408,50375400
6/7/2017,243.600006,243.919998,242.830002,243.660004,227.929367,54144300
6/8/2017,243.770004,244.330002,243.169998,243.779999,228.041595,65950700
6/9/2017,244.089996,245.009995,241.949997,243.410004,227.695496,132256400
6/12/2017,243.130005,243.419998,242.380005,243.360001,227.648682,86108100
6/13/2017,243.979996,244.610001,243.580002,244.550003,228.761902,60067000
6/14/2017,244.860001,244.869995,243.289993,244.240005,228.471909,78602300
6/15/2017,242.679993,243.910004,242.360001,243.770004,228.032242,66464900
6/16/2017,242.770004,242.830002,241.630005,242.639999,228.082092,84553100
6/19/2017,243.589996,244.729996,243.479996,244.660004,229.980881,65123800
6/20/2017,244.25,244.259995,242.990005,243.009995,228.429855,56906400
6/21/2017,243.460007,243.589996,242.410004,242.949997,228.373459,55977600
6/22/2017,242.960007,243.529999,242.639999,242.839996,228.270065,44148100
6/23/2017,242.910004,243.509995,242.470001,243.130005,228.542709,66986800
6/26/2017,243.899994,244.380005,243.050003,243.289993,228.693085,56700500
6/27/2017,243.039993,243.380005,241.309998,241.330002,226.850708,82247700
6/28/2017,242.5,243.720001,242.229996,243.490005,228.881088,70042600
6/29/2017,243.660004,243.720001,239.960007,241.350006,226.869476,106949700
6/30/2017,242.279999,242.710007,241.580002,241.800003,227.292465,86820700
7/3/2017,242.880005,243.380005,242.210007,242.210007,227.677887,39153800
7/5/2017,242.630005,243.009995,241.699997,242.770004,228.204285,54427600
7/6/2017,241.889999,242.029999,240.339996,240.550003,226.117493,65400800
7/7/2017,241.210007,242.279999,240.559998,242.110001,227.583878,57972300
7/10/2017,242.110001,242.800003,241.759995,242.369995,227.828293,36663300
7/11/2017,242.369995,242.550003,240.850006,242.190002,227.659073,50354600
7/12/2017,243.300003,244.199997,243.300003,244.009995,229.369888,59610400
7/13/2017,244.020004,244.550003,243.759995,244.419998,229.75528,39471600
7/14/2017,244.419998,245.970001,244.309998,245.559998,230.826874,60262700
7/17/2017,245.470001,245.910004,245.330002,245.529999,230.79866,33531900
7/18/2017,245.059998,245.720001,244.669998,245.660004,230.920883,42742500
7/19/2017,246.020004,247,246.009995,246.990005,232.171066,51034300
7/20/2017,247.279999,247.419998,246.470001,247.100006,232.274475,47135200
7/21/2017,246.440002,246.910004,246.179993,246.880005,232.067719,82340800
7/24/2017,246.789993,246.979996,246.279999,246.820007,232.011292,46622300
7/25/2017,247.679993,247.800003,247.160004,247.419998,232.575272,54915600
7/26/2017,247.75,247.789993,247.130005,247.429993,232.584702,47575400
7/27/2017,247.960007,248,245.679993,247.199997,232.368469,70766600
7/28/2017,246.649994,247.059998,246.130005,246.910004,232.095917,50088400
7/31/2017,247.369995,247.479996,246.529999,246.770004,231.964294,65838700
8/1/2017,247.460007,247.5,246.720001,247.320007,232.481293,55050400
8/2/2017,247.470001,247.600006,246.369995,247.440002,232.594101,47211200
8/3/2017,247.309998,247.339996,246.639999,246.960007,232.142914,40856000
8/4/2017,247.520004,247.789993,246.970001,247.410004,232.565887,60191800
8/7/2017,247.490005,247.869995,247.369995,247.869995,232.998276,31995000
8/8/2017,247.509995,248.910004,246.830002,247.259995,232.424896,61719400
8/9/2017,246.470001,247.309998,246.059998,247.25,232.415482,62632600
8/10/2017,246.289993,246.440002,243.699997,243.759995,229.134888,120479500
8/11/2017,244.020004,244.800003,243.75,244.119995,229.473267,74869900
8/14/2017,245.589996,246.789993,245.550003,246.539993,231.748062,73291900
8/15/2017,246.979996,247,246.160004,246.509995,231.71991,55242700
8/16/2017,247.110001,247.570007,246.449997,246.940002,232.124069,56715500
8/17/2017,246.240005,246.600006,243.089996,243.089996,228.505081,128490400
8/18/2017,242.899994,244.190002,242.199997,242.710007,228.147903,136748000
8/21/2017,242.639999,243.199997,241.830002,242.899994,228.326477,65469700
8/22/2017,243.570007,245.619995,243.550003,245.440002,230.714081,63140100
8/23/2017,244.330002,245.050003,244.160004,244.559998,229.886871,50203800
8/24/2017,245,245.179993,243.75,243.990005,229.351089,50741700
8/25/2017,244.899994,245.610001,244.389999,244.559998,229.886871,64445900
8/28/2017,245.169998,245.199997,244.089996,244.570007,229.896301,40565600
8/29/2017,243.059998,245.149994,242.929993,244.850006,230.15947,51135700
8/30/2017,244.830002,246.320007,244.619995,246.009995,231.249878,62030800
8/31/2017,246.720001,247.770004,246.050003,247.490005,232.641113,103803900
9/1/2017,247.919998,248.330002,247.669998,247.839996,232.970108,62007000
9/5/2017,247.259995,247.520004,244.949997,246.059998,231.29689,91398800
9/6/2017,246.839996,247.279999,246.229996,246.899994,232.086472,57916900
9/7/2017,247.25,247.270004,246.399994,246.869995,232.058289,58034700
9/8/2017,246.539993,247.110001,246.300003,246.580002,231.785675,63832800
9/11/2017,248.039993,249.300003,248.020004,249.210007,234.257874,71364800
9/12/2017,249.630005,250.089996,249.419998,250.050003,235.047531,56896000
9/13/2017,249.720001,250.210007,249.589996,250.169998,235.160278,59228000
9/14/2017,249.800003,250.320007,249.600006,250.089996,235.085098,95446300
9/15/2017,248.690002,249.289993,248.570007,249.190002,235.401535,95432400
9/18/2017,249.610001,250.119995,249.279999,249.720001,235.902237,46235200
9/19/2017,250,250.070007,249.600006,249.970001,236.138382,47108100
9/20/2017,250.070007,250.190002,248.919998,250.059998,236.223419,59574100
9/21/2017,249.880005,249.979996,249.190002,249.389999,235.5905,48211400
9/22/2017,249.050003,249.630005,249.020004,249.440002,235.637726,51214000
9/25/2017,249.149994,249.550003,248.080002,248.929993,235.155945,57064400
9/26/2017,249.419998,249.699997,248.809998,249.080002,235.297653,54082000
9/27/2017,249.880005,250.490005,248.869995,250.050003,236.213989,81001400
9/28/2017,249.729996,250.440002,249.630005,250.350006,236.49736,44778800
9/29/2017,250.339996,251.320007,250.130005,251.229996,237.328705,85578000
10/2/2017,251.490005,252.320007,251.289993,252.320007,238.358368,59023000
10/3/2017,252.320007,252.889999,252.229996,252.860001,238.868469,66810200
